hh_id,ifh,formal,pc_income,pc_spend,water_bill,electricity_bill,medicines,hosp_sugery,vaccines,dental,woman,age,educ,nb_hh_members,hh_woman
15439,39.3162422180176,1,3954.5,5819.88370438347,17,30,1,0,0,0,0,44,11,8,0
13514,73.0158767700195,1,8360,4576.375,40,120,0,0,0,0,1,19,12,8,0
13861,59.706958770752,1,4859.75,7609.99119533582,48,52,1,0,0,0,0,43,16,4,0
14207,80.0976791381836,1,27466.25,18850.6666666667,35,90,0,0,0,0,1,50,18,3,0
13335,17.0940189361572,0,1097,1988.7,5,10,1,0,0,0,0,8,1,5,1
14369,41.6361427307129,0,4843.33333333333,6886.48207239651,10,21,1,0,1,0,0,33,11,3,0
14746,63.7362632751465,0,4002.5,3760.82590610852,28,31,0,0,0,0,0,26,11,4,0
14712,67.1550674438477,1,11425.5,10483.0624177594,78,25,0,0,0,0,0,42,11,2,0
13704,85.1037826538086,0,9961.5,6176.66285387641,0,100,0,0,0,0,0,7,0,4,0
13313,63.3699645996094,0,8727.6,5953.6,40,160,0,0,0,0,1,15,10,5,1
14794,65.5677642822266,1,5133.4,5542.73479101483,38,128,1,0,0,0,1,14,7,10,1
14513,72.1611709594727,0,6803.54407821154,10558.7378894598,118,50,0,0,0,0,0,55,11,4,0
15345,45.0549468994141,0,767,2222.5,0,0,1,0,0,0,1,69,1,2,1
13914,61.7826614379883,1,6655.33333333333,7476.66863692194,8,80,1,0,0,0,1,8,3,6,0
14196,52.6251525878906,1,5104.75,5996.85239028304,0,68,1,0,1,0,1,45,11,4,0
13818,46.764347076416,0,3001.2,4307.59914182131,17,15,1,0,0,0,0,45,11,5,0
14540,67.0329666137695,1,9202.5,2685.56827972903,13,60,0,0,0,0,1,15,10,4,0
13633,83.7606811523438,1,11196.5195669019,9153.40136999914,48,110,0,0,0,0,1,16,10,7,0
14343,57.8754577636719,0,6108.33333333333,7479.66666666667,13,43,0,0,0,0,1,23,12,3,0
13365,39.0720405578613,0,1146.14285714286,2603.05217606634,30,45,0,0,0,0,1,62,0,7,0
15093,63.9804649353027,1,7918.66666666667,8371.66666666667,30,38,0,0,0,0,0,25,12,3,1
14343,57.8754577636719,0,6108.33333333333,7479.66666666667,13,43,1,0,0,0,1,68,0,3,0
15238,78.998779296875,1,18416.2,6860.6,120,120,0,0,0,0,1,46,9,5,0
13450,62.0268630981445,1,4577.75,4726.37657455779,79,130,0,0,0,0,1,9,4,4,1
14803,73.0158767700195,1,10750,6357.69864469184,40,120,1,0,0,0,0,60,13,5,0
14634,72.6495742797852,0,8437.66666666667,13234.114805151,23,28,0,0,0,0,0,50,11,3,0
14656,79.9755783081055,0,14461.1894714795,7821.27500496966,50,50,0,0,0,0,0,38,14,3,0
14726,41.5140419006348,1,6516.7,4340.9417062404,22,17,0,0,0,0,0,32,11,10,1
13976,94.993896484375,1,20688.6666666667,14477.8982946669,62,155,0,0,0,0,0,18,12,6,0
13702,58.7301597595215,1,4781,5515.72984049822,0,0,0,0,1,0,0,1,0,3,0
13582,70.2075729370117,1,7139.8,7262.6,15,65,1,0,0,1,1,20,12,5,0
14285,49.0842514038086,1,7090.25,7240.24045874249,40,45,1,0,0,0,0,52,6,4,0
14530,52.8693542480469,1,3648.71428571429,3989.25272208798,30,70,0,0,0,0,1,16,10,7,0
14614,74.7252731323242,1,6642.86242747503,5855.36343195602,40,120,0,0,1,0,1,1,0,8,0
13803,33.3333320617676,0,3461.5,3692.5,38,20,0,0,0,0,0,16,11,4,1
13627,70.8180694580078,1,12173.5,12320.5,70,70,0,0,0,1,1,15,9,4,1
13921,85.2258834838867,0,10465.25,4532.81784439286,32,38,1,0,1,1,1,3,0,4,1
14414,73.7484741210938,0,7163,7765.31343379096,41,88,1,0,0,0,1,54,11,2,1
13396,72.8937759399414,1,7879.45454545455,2915.31257492323,85,200,0,0,0,0,0,10,4,11,0
14644,56.1660575866699,1,6448.66666666667,2573.59360409636,30,21,0,0,1,1,1,18,11,6,0
13510,72.527473449707,0,4921.75,4197,0,30,1,0,0,0,0,66,11,4,0
14690,28.2051296234131,0,36.25,1929.89090573621,15,30,0,1,0,0,1,30,8,4,0
13544,80.0976791381836,1,8050.6,3067.70571625989,60,70,0,0,0,0,0,2,0,10,1
13667,45.4212455749512,1,2796.6,4240.08408248445,30,80,0,1,1,0,1,32,11,5,0
13634,77.2893753051758,1,17426,14591.6252029806,60,80,1,0,0,0,1,34,14,2,0
15423,26.8620281219482,0,1911.625,2230.41205285864,15,25,0,0,0,0,1,14,9,8,0
13893,46.1538467407227,1,3663.5,4903.72335449695,0,0,0,0,1,0,0,69,11,6,0
14259,83.8827819824219,1,4315,9205.71428571429,70,300,1,0,0,1,1,12,3,7,1
14318,33.0891342163086,0,5997.36105442177,3662.38194080865,13,8,0,0,0,0,1,18,12,7,0
13487,14.8962154388428,0,621.833333333333,2557.15114176135,4,11,1,0,0,0,1,16,8,6,1
15418,61.9047622680664,0,5766.83333333333,7093.82164775443,40,50,1,0,0,0,0,8,2,6,1
15097,62.6373634338379,0,9265,4327.66666666667,20,20,0,0,0,0,1,52,0,3,0
14106,70.3296737670898,0,5274.66666666667,6443.86534186445,35,60,1,1,0,0,1,50,11,3,0
14406,68.7423706054688,1,4800.5,5283.05211249217,33,66,0,0,0,0,0,48,14,6,0
14417,76.3125762939453,1,5907.625,4072.125,80,120,1,0,0,0,0,91,2,8,0
14548,60.4395599365234,0,2669.75,6354.02503672981,20,60,0,0,0,0,0,13,7,4,1
14952,54.0903549194336,0,4231.25,5602.85613866325,50,40,0,0,0,0,1,60,4,4,0
13298,70.3296737670898,0,12035,11532.2252687095,40,90,1,0,0,0,0,28,11,2,1
13389,74.7252731323242,0,6115,5497.25,45,70,0,0,0,0,0,43,16,4,0
13481,39.6825408935547,0,5829.75,4592.25,40,80,1,0,0,0,1,35,3,4,1
13557,70.8180694580078,1,7328.33333333333,8086.22599709127,41,40,1,0,1,0,0,32,14,3,0
15273,67.0329666137695,1,9715.83333333333,5915.80919367584,28,0,1,0,0,0,0,61,6,6,1
15367,79.9755783081055,1,13001.5,9843.10175063135,31,79,1,1,0,0,1,20,11,2,1
14888,75.3357772827148,0,5530,8034.5702781025,40,110,1,0,0,0,0,7,1,3,0
